"","Firm_id","Firm","Year","Firm_value","Count","Green_inn","Location","Age","Sales","Sales_growth","Total_assets","Total_debt","Leverage","Tshare_equity","ROA","ROE","Size"
"1","ACTI-SE","ACTI",2006,13.053172,2551,7.8446,"SE",8,7169.958184,625.076477,51243.958835,39756.316013,77.582445,6688.962324,-27.018291,-117.3663,10.8443530136624
"2","ACTI-SE","ACTI",2007,38.723792,2637,7.8778,"SE",9,1305.640729,-81.800507,51806.216051,27106.131787,52.322161,20061.331314,-43.640757,-166.222272,10.8552654220326
"3","ACTI-SE","ACTI",2008,34.593655,2624,7.8728,"SE",10,5539.767092,342.626465,43024.817021,23505.049545,54.631376,14883.856815,-37.732469,-102.829152,10.6695323682177
"4","ACTI-SE","ACTI",2009,37.841877,2878,7.9652,"SE",11,1012.904887,-79.848846,48661.210898,24938.751006,51.249754,18414.315574,-46.112084,-127.168979,10.7926375009025
"5","ACTI-SE","ACTI",2010,36.127968,3418,8.1371,"SE",12,1191.071065,5.421463,55781.443059,27659.377587,49.585267,20152.701831,-44.142681,-119.365873,10.9291965313918
"6","ACTI-SE","ACTI",2011,58.471828,3544,8.1733,"SE",13,25979.684921,1965.806641,96471.06492,27284.003314,28.282059,56408.395276,-13.887961,-27.656388,11.4769983969759
"7","ACTI-SE","ACTI",2012,48.787132,3994,8.2928,"SE",14,26191.417782,-2.849616,81235.21996,27576.184484,33.946094,39632.334006,-22.506306,-41.575802,11.3051041754601
"8","ACTI-SE","ACTI",2013,52.80116,4354,8.3791,"SE",15,13407.835586,-49.115433,86757.647327,26095.41833,30.078522,45809.043888,-28.962735,-56.910707,11.3708738475492
"9","ACTI-SE","ACTI",2014,56.096163,4620,8.4384,"SE",16,1141.91522,-91.033028,76274.942322,24231.746437,31.768948,42787.316299,-31.068618,-57.112901,11.2420997533997
"10","ACTI-SE","ACTI",2015,40.184007,4431,8.3966,"SE",17,1739.652703,56.505432,49075.355765,24323.879496,49.564347,19720.44428,-33.026895,-66.061795,10.8011122685325
"11","ACTI-SE","ACTI",2016,44.215562,4550,8.4231,"SE",18,2010.553711,17.001535,43088.683681,22571.321415,52.383409,19051.90348,-13.819544,-32.814367,10.6710156820115
"12","ACTI-SE","ACTI",2017,25.567372,4782,8.4728,"SE",19,540.289664,-72.660439,30901.840846,21401.711369,69.257076,7900.788615,-30.359933,-83.612315,10.3385710354156
"13","ACTI-SE","ACTI",2018,29.069441,4909,8.499,"SE",20,1953.393509,285.151733,29840.264643,20162.807648,67.569131,8674.398015,-12.166059,-44.540799,10.3036139230116
"14","ACTI-SE","ACTI",2019,80.328285,5182,8.5531,"SE",21,795.664455,-57.982147,6371.851465,309.580202,4.85856,5118.39901,-18.480447,-48.175698,8.75964536018072
"15","ADXN-CH","ADXN",2006,91.210491,8,2.1972,"CH",4,3012.914138,-21.23982,28795.607661,78.631969,0.273069,26264.615222,-54.387842,-63.160343,10.2679781427221
"16","ADXN-CH","ADXN",2008,89.921663,9,2.3026,"CH",6,16921.239646,5405.310059,89440.91274,0,0,80426.756301,-15.666377,-17.033052,11.4013334933905
"17","ADXN-CH","ADXN",2009,87.609147,19,2.9957,"CH",7,2710.088651,-84.73983,59705.347166,0,0,52307.345312,-38.656191,-43.436581,10.9971768626395
"18","ADXN-CH","ADXN",2010,68.138616,12,2.5649,"CH",8,1432.261553,-51.714096,59405.383037,11034.451307,18.574834,40478.005926,-41.323874,-52.490104,10.9921401247632
"19","ADXN-CH","ADXN",2011,77.576798,39,3.6889,"CH",9,2289.919828,42.940163,35930.532869,0,0,27873.756945,-52.826214,-73.748535,10.4893427107518
"20","ADXN-CH","ADXN",2012,74.949956,34,3.5553,"CH",10,0,-100,18011.050157,0,0,13499.274092,-82.687365,-107.801823,9.79874074613136
"21","ADXN-CH","ADXN",2018,92.956862,12,2.5649,"CH",16,5805.307424,1240.818848,37459.570682,0,0,34821.241367,-7.265487,-8.10581,10.5310175152277
"22","ADXN-CH","ADXN",2019,77.277637,16,2.8332,"CH",17,2547.595532,-57.723354,30385.983701,506.2178,1.665958,23481.570155,-39.287872,-45.644162,10.3217367186052
"23","AGY-GB","AGY",2006,86.330517,404,6.0039,"GB",2,34422.80354,14.325925,54792.912116,0,0,47303.004541,-18.961884,-23.184178,10.9113161236219
"24","AGY-GB","AGY",2007,35.398043,456,6.1247,"GB",3,38106.031669,9.270736,35064.141159,3210.338052,9.155616,12412.019632,-77.475074,-116.019193,10.4649342678435
"25","AGY-GB","AGY",2011,6.985402,785,6.667,"GB",7,48516.899317,1.968098,33907.291675,16780.350023,49.488913,2368.56069,-8.912549,-88.365145,10.431385363897
"26","AGY-GB","AGY",2012,39.417742,935,6.8416,"GB",8,48903.88504,-0.654601,34301.848083,6395.909196,18.645961,13521.013837,2.8197,12.58506,10.4429545116734
"27","AGY-GB","AGY",2013,38.043778,1077,6.9829,"GB",9,47641.884729,-4.847383,33795.972716,4597.297766,13.603093,12857.264996,1.890053,4.881825,10.4280969239579
"28","AGY-GB","AGY",2014,40.224664,1122,7.0238,"GB",10,50253.170537,6.812801,35464.57452,4621.958951,13.032608,14265.505836,2.583592,6.60369,10.4762895763839
"29","AGY-GB","AGY",2015,67.111232,1185,7.0783,"GB",11,56861.71198,3.03897,72496.35646,2376.975999,3.278752,48653.198162,0.270816,0.47067,11.1912915838558
"30","AGY-GB","AGY",2016,52.898386,1277,7.1531,"GB",12,64776.321445,12.211428,68978.858107,4049.086045,5.870039,36488.702891,-24.054616,-40.350038,11.1415553323816
"31","AGY-GB","AGY",2017,51.895534,1492,7.3085,"GB",13,74601.545886,32.218765,65760.091562,3789.054998,5.761937,34126.550348,-4.312308,-8.230357,11.0937684220953
"32","AGY-GB","AGY",2018,45.150541,1511,7.3212,"GB",14,77121.436831,6.560853,57688.218192,3457.945963,5.994198,26046.542611,-13.852901,-28.426951,10.9628082408665
"33","AGY-GB","AGY",2019,54.831598,1563,7.355,"GB",15,83633.994802,7.858543,76550.872943,2722.424726,3.55636,41974.067273,5.801879,11.443755,11.2457108045871
"34","ALCLS-FR","ALCLS",2006,-5.909465,1,0.6931,"FR",7,1188.478,-79.87307,11130.72,0.595,0.005346,-657.766,-27.741725,-330.676708,9.31746413220423
"35","ALCLS-FR","ALCLS",2007,80.82544,4,1.6094,"FR",8,1448,21.836498,36950,1446,3.913396,29865,-12.429098,-20.460685,10.5173209263763
"36","ALCLS-FR","ALCLS",2008,75.964575,8,2.1972,"FR",9,10600,632.044189,43698,1289,2.949792,33195,0.329828,0.42182,10.685057613446
"37","ALCLS-FR","ALCLS",2009,80.163448,7,2.0794,"FR",10,11951,12.745283,63751,1826,2.864269,51105,-7.169913,-9.13879,11.0627401491722
"38","ALCLS-FR","ALCLS",2010,72.406109,17,2.8904,"FR",11,8166,-31.67099,52055,1369,2.629911,37691,-13.925013,-18.160728,10.8600561309089
"39","ALCLS-FR","ALCLS",2011,28.070796,12,2.5649,"FR",12,9928,21.577272,101757,53301,52.380672,28564,-30.996281,-71.958343,11.5303428970073
"40","ALCLS-FR","ALCLS",2012,68.569328,16,2.8332,"FR",13,11301,13.829573,87036,4291,4.930144,59680,-23.153401,-49.535379,11.3740771051514
"41","ALCLS-FR","ALCLS",2013,15.751581,16,2.8332,"FR",14,7706,-31.811344,31946,4066,12.727728,5032,-102.591989,-188.62962,10.3718022563499
"42","ALCLS-FR","ALCLS",2014,44.171378,17,2.8904,"FR",15,21627,180.651443,137614,3686,2.678507,60786,3.352206,8.635935,11.8322079434918
"43","ALCLS-FR","ALCLS",2015,77.081,9,2.3026,"FR",16,50346,132.792343,341062,1987,0.582592,262894,-8.583677,-12.694019,12.7398195579205
"44","ALCLS-FR","ALCLS",2016,82.308172,17,2.8904,"FR",17,40491,-19.574545,314422,1669,0.530815,258795,-18.543855,-23.299705,12.6584913116438
"45","ALCLS-FR","ALCLS",2017,80.145817,20,3.0445,"FR",18,22331.082625,-44.84927,277216.85543,28.314457,0.010214,222177.714857,-29.780772,-36.632976,12.5325553504738
"46","ALCLS-FR","ALCLS",2018,81.722906,56,4.0431,"FR",19,10791.271599,-51.675999,438122.731051,1181.822158,0.269747,358046.625553,-18.64936,-22.992186,12.9902543579867
"47","ALCLS-FR","ALCLS",2019,67.410459,98,4.5951,"FR",20,13571.604735,25.764648,416453.452117,42411.581292,10.183991,280733.184856,-21.34716,-28.558783,12.9395299747204
"48","ALK B-DK","ALK B",2006,78.846903,678,6.5206,"DK",83,226.432819,-61.447159,344.357576,10.329386,2.99961,271.515284,0.337588,0.39053,5.8416805826199
"49","ALK B-DK","ALK B",2007,74.867068,630,6.4473,"DK",84,221.72704,-2.190645,378.326212,9.253637,2.445941,283.241744,5.196733,6.769826,5.93575681816275
"50","ALK B-DK","ALK B",2008,73.364854,648,6.4754,"DK",85,239.278697,7.990315,340.980948,6.583163,1.930654,250.160175,3.545438,4.781077,5.83182660475493
"51","ALK B-DK","ALK B",2009,72.672446,703,6.5568,"DK",86,259.861232,8.464126,356.539428,6.181988,1.733886,259.105924,4.54633,6.226913,5.87644483121436
"52","ALK B-DK","ALK B",2010,71.30742,850,6.7464,"DK",87,287.356545,10.594316,379.758271,6.44113,1.696113,270.795827,4.668977,6.487582,5.9395349213572
"53","ALK B-DK","ALK B",2011,64.609422,905,6.809,"DK",88,315.149689,9.719626,451.269672,44.938602,9.958259,291.562725,6.468305,9.557945,6.11206510315671
"54","ALK B-DK","ALK B",2012,69.591712,1084,6.9893,"DK",89,315.030487,-0.127768,439.88993,44.498311,10.115783,306.126935,1.627486,2.426421,6.08652453652639
"55","ALK B-DK","ALK B",2013,68.818849,1154,7.0519,"DK",90,300.890049,-4.307036,438.048606,43.831669,10.00612,301.460011,1.862595,2.691374,6.08232987682218
"56","ALK B-DK","ALK B",2014,68.850541,1109,7.0121,"DK",91,326.385061,8.42246,459.151452,43.511281,9.476455,316.128259,5.413489,7.864436,6.12938011641977
"57","ALK B-DK","ALK B",2015,63.428975,1113,7.0157,"DK",92,344.426312,5.589807,569.769725,86.430262,15.169332,361.399094,8.968844,13.621065,6.34523228797408
"58","ALK B-DK","ALK B",2016,59.908314,1199,7.0901,"DK",93,403.615229,16.971584,645.416143,104.229529,16.149198,386.657931,5.966192,9.691314,6.46989529170047
"59","ALK B-DK","ALK B",2017,66.357402,1322,7.1877,"DK",94,391.205237,-3.161398,665.910936,101.807279,15.288423,441.881198,-3.2387,-5.12571,6.50115593186804
"60","ALK B-DK","ALK B",2018,65.344296,1421,7.2598,"DK",95,391.095938,0.171821,651.932779,99.431474,15.251799,426.000885,-3.461264,-5.255836,6.47994145691826
"61","ALK B-DK","ALK B",2019,57.797998,1642,7.4043,"DK",96,438.511889,12.315609,735.364713,132.48609,18.016379,425.026083,-0.965251,-1.573564,6.60036658430554
"62","ALONX-FR","ALONX",2007,73.170811,1,0.6931,"FR",10,3529.333,667.523254,63536.808,21.497,0.033834,46490.398,-42.318599,-55.753655,11.0593746704899
"63","ALONX-FR","ALONX",2008,64.246904,1,0.6931,"FR",11,8173.943,131.60022,42367.385,11.689,0.02759,27219.733,-40.349813,-57.97323,10.6541341235191
